Primer Autor	Año Publicación	Tipo Producto	Journal	
Bystritsky, A.	2012	JOUR	Journal of Psychiatric Research	
Papavlasopoulou, Sofia	2020	JOUR	Computers in Human Behavior	
Kumar, Mukesh	2022	JOUR	Polycyclic Aromatic Compounds	
Vargas-Rojas, Erik	2022	JOUR	Composites Part B: Engineering	
Sejnowski, Terrence J.	2015	CHAP	No encontrado	
Escolà-Gascón, Álex	2022	JOUR	Heliyon	
Hao, Chenxu	2023	JOUR	Cognitive Systems Research	
Andrews, G.R.	2019	JOUR	Results in Physics	
Jay, Barry	2019	JOUR	Theoretical Computer Science	
Dev, Sukhendu B.	2015	JOUR	Progress in Biophysics and Molecular Biology	
Gürsoy, Benay	2015	JOUR	Design Studies	
Duggan, Ryan	2024	JOUR	Journal of Medical Imaging and Radiation Sciences	
Kacerja, Suela	2023	JOUR	The Journal of Mathematical Behavior	
Velupillai, K.Vela	2014	JOUR	Cognitive Systems Research	
Mayer, Lauren A.	2017	JOUR	Global Environmental Change	
Huijser, Stefan	2018	JOUR	Consciousness and Cognition	
Sun, Ron	2009	JOUR	Cognitive Systems Research	
Beytía, Pablo	2022	JOUR	Poetics	
Yerpude, S.T.	2022	CHAP	No encontrado	
Adamatzky, Andrew	2017	JOUR	Progress in Biophysics and Molecular Biology	
Thanatipanonda, Thotsaporn “Aek”	2021	JOUR	Journal of Symbolic Computation	
Keller, Georg B.	2018	JOUR	Neuron	
Nikolić, Danko	2023	JOUR	Computational Biology and Chemistry	
Pine, Daniel S.	2017	JOUR	Biological Psychiatry	
Giorgi, Ioanna	2023	JOUR	Cognitive Systems Research	
Liu, Donghang	2023	JOUR	International Journal of Cognitive Computing in Engineering	
Bernard, Michael L.	2015	JOUR	Procedia Manufacturing	
Rowan, Neil J.	2024	JOUR	Science of The Total Environment	
No encontrado	2016	JOUR	Cell Systems	
Morley, Andrew D.	2013	JOUR	Drug Discovery Today	
Han, Ji	2020	JOUR	Procedia CIRP	
Singh, Natesh	2021	JOUR	Computational and Structural Biotechnology Journal	
DeCarolis, Joseph F.	2011	JOUR	Energy Economics	
Palaniappan, Sucheendra K.	2019	CHAP	No encontrado	
Alexandrov, Nia	2015	JOUR	Procedia Computer Science	
Cameron, James R.	2017	JOUR	Progress in Retinal and Eye Research	
Yerion, Kathie A.	2015	JOUR	Procedia Computer Science	
Liu, Chen-Chung	2011	JOUR	Computers & Education	
Gissel, Jodi L.	2016	JOUR	Journal of Accounting Education	
Hawthorne, Casey	2022	JOUR	The Journal of Mathematical Behavior	
Letonsaari, Mika	2017	JOUR	Procedia Computer Science	
Judd, Kenneth L.	2006	CHAP	No encontrado	
McClelland, James L.	2022	JOUR	Trends in Cognitive Sciences	
Figliolia, Tomas	2020	JOUR	Microprocessors and Microsystems	
Thirunavukarasu, Ramkumar	2022	JOUR	Computers in Biology and Medicine	
Ren, Jie	2013	JOUR	Tetrahedron	
Psycharis, Sarantos	2011	JOUR	Computers & Education	
Xu, Dandan	2011	JOUR	Systems Engineering Procedia	
Thabtah, Fadi	2018	JOUR	International Journal of Medical Informatics	
Tang, Xinlu	2024	JOUR	Medical Image Analysis	
Sadeghipour, Amir	2012	JOUR	Procedia - Social and Behavioral Sciences	
Carette, Jacques	2022	CHAP	No encontrado	
Liu, Hong P.	2012	JOUR	Procedia Computer Science	
Yang, Xin-She	2012	JOUR	Procedia Computer Science	
No encontrado	2009	CHAP	No encontrado	
Gaar, Elisabeth	2021	JOUR	Journal of Symbolic Computation	
Knight, Terry	2015	JOUR	Design Studies	
Chi, Hongmei	2011	JOUR	Procedia Computer Science	
Ramos, K.S.	2018	CHAP	No encontrado	
Sederberg, P.B.	2010	CHAP	No encontrado	
Zendehrouh, Sareh	2015	JOUR	Neural Networks	
Quian Quiroga, Rodrigo	2020	JOUR	Trends in Cognitive Sciences	
Varner, Victor D.	2017	JOUR	Seminars in Cell & Developmental Biology	
Lee, Hae-In	2024	JOUR	IFAC-PapersOnLine	
Su, Jiahong	2022	JOUR	Computers and Education: Artificial Intelligence	
Maršík, Jirka	2021	JOUR	Theoretical Computer Science	
Quinlan, Philip T.	2007	JOUR	Cognition	
Díaz, Jaime	2021	JOUR	Procedia Computer Science	
Biloria, Nimish	2012	JOUR	Frontiers of Architectural Research	
Dalla Chiara, Maria Luisa	2016	JOUR	Fuzzy Sets and Systems	
Murano, Aniello	2020	JOUR	Theoretical Computer Science	
Kotagodahetti, Ravihari	2024	JOUR	Energy Conversion and Management	
Kanellopoulos, Aris	2024	CHAP	No encontrado	
Moghaddam, Mohsen	2020	JOUR	Expert Systems with Applications	
Botana, Francisco	2016	JOUR	Mathematics and Computers in Simulation	
Sloot, Peter M.A.	2010	JOUR	Journal of Computational Science	
Ignatowski, Magdalena	2014	JOUR	Journal of Financial Stability	
Long, Alexandra F	2019	JOUR	Current Opinion in Cell Biology	
Rolls, Edmund T.	2007	JOUR	Neural Networks	
Jiao, Licheng	2020	CHAP	No encontrado	
Sejnowski, T.J.	2009	CHAP	No encontrado	
Yang, Xin-She	2011	JOUR	Procedia Computer Science	
Garcia-Nunes, Pedro Ivo	2020	JOUR	Futures	
Filomena, Gabriele	2019	JOUR	Cities	
Raz, Tuval	2024	JOUR	Thinking Skills and Creativity	
Black, Kylie	2021	CHAP	No encontrado	
Molins-Ruano, Pablo	2018	JOUR	Computers in Human Behavior	
Kara, Levent	2015	JOUR	Procedia - Social and Behavioral Sciences	
Tryk, Donald A.	2023	JOUR	Current Opinion in Electrochemistry	
Jarman, Hannah K.	2022	JOUR	Body Image	
Deichmann, Ute	2024	JOUR	BioSystems	
Den Haan, Wouter J.	2011	JOUR	Journal of Economic Dynamics and Control	
Varma, Sashank	2024	JOUR	Cognitive Psychology	
Ali, Ali	2020	JOUR	Genomics	
Yang, Xin-She	2010	JOUR	Procedia Computer Science	
Trasmundi, Sarah Bro	2024	JOUR	Language Sciences	
Cottam, Ron	2024	JOUR	BioSystems	
Göndöcs, Dóra	2024	JOUR	Artificial Intelligence in Medicine	
Lee, Dasheng	2023	JOUR	Applied Thermal Engineering	
Ailon, Nir	2020	JOUR	Theoretical Computer Science	
Toivonen, Hannu	2020	JOUR	Physics of Life Reviews	
Ward, Thomas B.	2018	CHAP	No encontrado	
Turkheimer, Federico E.	2015	JOUR	Neuroscience & Biobehavioral Reviews	
Friston, Karl J	2014	JOUR	The Lancet Psychiatry	
Cui, Ronghao	2022	JOUR	Earth-Science Reviews	
Hudlicka, Eva	2017	CHAP	No encontrado	
Rossiter, J.A.	2024	JOUR	IFAC-PapersOnLine	
Doiron, Brent	2019	JOUR	Current Opinion in Neurobiology	
Delgado, Fernando M.	2019	JOUR	Artificial Intelligence in Medicine	
Ocampo, Lanndon	2024	JOUR	Applied Soft Computing	
de Souza, Bruno Campello	2024	JOUR	Computers in Human Behavior: Artificial Humans	
Coward, L. Andrew	2014	JOUR	Procedia Computer Science	
Baker, Cameron F.	2023	JOUR	Chemical Science	
Murray, John D.	2018	JOUR	Biological Psychiatry: Cognitive Neuroscience and Neuroimaging	
Liu, Shu	2017	JOUR	Neurocomputing	
Gómez Perosanz, Marta	2019	CHAP	No encontrado	
Leonardi, Giuseppe	2018	JOUR	Physica A: Statistical Mechanics and its Applications	
Farazi, Nahid Parvez	2024	JOUR	Transportation Research Part E: Logistics and Transportation Review	
Yang, Xin-She	2013	JOUR	Procedia Computer Science	
Maselli, Francesca	2023	JOUR	Computational and Structural Biotechnology Journal	
Manches, Andrew	2020	JOUR	Computers in Human Behavior	
Levin, Michael	2019	JOUR	Seminars in Cell & Developmental Biology	
Yong, Su Ting	2024	JOUR	South African Journal of Chemical Engineering	
Bautista, Ana B.	2023	JOUR	Journal of Contextual Behavioral Science	
van den Bos, Wouter	2018	JOUR	Developmental Cognitive Neuroscience	
Liu, Guogang	2021	JOUR	Vacuum	
Penn, G.	2006	CHAP	No encontrado	
Drosatos, George	2014	JOUR	Journal of Systems and Software	
Sloot, Peter M.A.	2012	JOUR	Journal of Computational Science	
Camacho-Lie, Mariola	2024	JOUR	Education for Chemical Engineers	
O’Reilly, Randall C.	2019	CHAP	No encontrado	
Gardner, William B.	2015	JOUR	Journal of Computational Science	
Snider, Sarah E.	2021	JOUR	Drug and Alcohol Dependence	
Jolly, Mohit Kumar	2017	JOUR	Current Opinion in Systems Biology	
Wang, Wenyi	2015	JOUR	Procedia Computer Science	
Ekins, Sean	2014	JOUR	Journal of Pharmacological and Toxicological Methods	
Rasul, Tareq	2024	JOUR	The International Journal of Management Education	
Ma, Zhanshan (Sam)	2015	JOUR	Cognitive Systems Research	
Phippen, Andy	2024	CHAP	No encontrado	
De Martino, Benedetto	2013	JOUR	Neuron	
Lawniczak, Anna T.	2010	JOUR	Procedia Computer Science	
Gu, Jianhua	2024	JOUR	Future Generation Computer Systems	
Ward, T.B.	2011	CHAP	No encontrado	
Moore, J.H.	2013	CHAP	No encontrado	
Pupkov, K.A.	2021	JOUR	Procedia Computer Science	
Mohammadi Ziabari, S. Sahand	2018	JOUR	Procedia Computer Science	
Khan, Inam Ullah	2022	JOUR	Intelligent Systems with Applications	
Dayan, Peter	2011	JOUR	Current Opinion in Neurobiology	
Westera, Wim	2017	JOUR	Journal of Computational Science	
Perri, Damiano	2022	CHAP	No encontrado	
Matencio, Adrián	2021	JOUR	Food Chemistry	
Carusi, Annamaria	2017	JOUR	Progress in Biophysics and Molecular Biology	
Zhu, Liqi	2006	JOUR	Cognition	
Ozkaya, Ipek	2006	JOUR	Design Studies	
Davis, A.M.	2017	CHAP	No encontrado	
Ibarra-Torres, Fernando	2024	JOUR	Procedia Computer Science	
Su, Guo	2021	JOUR	Thinking Skills and Creativity	
Cooper, Richard P.	2014	JOUR	Cognitive Systems Research	
Koriyama, Yukio	2021	JOUR	Journal of Economic Behavior & Organization	
Haleem, Abid	2024	JOUR	Journal of Industrial Safety	
Jung, Jason J.	2017	JOUR	Future Generation Computer Systems	
Destexhe, Alain	2011	JOUR	Current Opinion in Neurobiology	
Aleksander, Igor	2007	CHAP	No encontrado	
Salaj, Alenka Temeljotov	2024	JOUR	IFAC-PapersOnLine	
Sharma, Arun	2022	JOUR	Journal of Molecular Structure	
Kliemann, Dorit	2018	JOUR	Current Opinion in Psychology	
Maity, Ranjan	2016	JOUR	Procedia Computer Science	
Cai, Jinfa	2024	JOUR	International Journal of Educational Research	
Schez-Sobrino, Santiago	2024	JOUR	Software Impacts	
Ladley, Daniel	2015	JOUR	Journal of Business Research	
Yang, Ding	2018	JOUR	Automation in Construction	
Constable, David J.C.	2017	JOUR	Current Opinion in Green and Sustainable Chemistry	
Crollen, Virginie	2019	JOUR	NeuroImage	
Wu, Ching-Lin	2024	JOUR	Thinking Skills and Creativity	
Vartiainen, Henriikka	2020	JOUR	International Journal of Child-Computer Interaction	
HuangHuang, RongjinRongjin	2023	JOUR	International Journal for Lesson and Learning Studies	
Heras, J.	2011	JOUR	Journal of Symbolic Computation	
Nightingale, Roger W.	2016	JOUR	Journal of Biomechanics	
Martinez-Ledesma, Emmanuel	2020	JOUR	Computational and Structural Biotechnology Journal	
Bullock, Daniel	2009	JOUR	Neural Networks	
Papavlasopoulou, Sofia	2018	JOUR	International Journal of Child-Computer Interaction	
Mavridis, Christos N.	2023	JOUR	IFAC-PapersOnLine	
Tröger, Johannes	2019	JOUR	Neuropsychologia	
Lisowski, Józef	2014	JOUR	Procedia Computer Science	
Read Montague, P.	2018	CHAP	No encontrado	
Chen, Dewang	2016	JOUR	Journal of Computational and Applied Mathematics	
Liu, Yan	2024	JOUR	Computers in Human Behavior	
Maia, Tiago V.	2017	JOUR	Biological Psychiatry	
Li, Bo	2017	JOUR	Journal of Parallel and Distributed Computing	
Liu, Yang	2018	JOUR	Organic Chemistry Frontiers	
Stephens, Ana	2021	JOUR	The Journal of Mathematical Behavior	
Figueira-Sampaio, Aleandra da Silva	2009	JOUR	Computers & Education	
Brodland, G. Wayne	2015	JOUR	Seminars in Cell & Developmental Biology	
Lee, Young-Jin	2012	JOUR	Computers & Education	
Rolls, Edmund T.	2024	JOUR	Heliyon	
Lourenço, Joana	2020	JOUR	Cortex	
Drozdzewski, Danielle	2024	JOUR	Digital Geography and Society	
Klimova, Alexandra	2017	JOUR	Procedia Computer Science	
Yongsatianchot, Nutchanon	2021	CHAP	No encontrado	
Tezduyar, Tayfun E.	2006	JOUR	Computer Methods in Applied Mechanics and Engineering	
Di Franco, Anthony	2019	JOUR	International Journal of Approximate Reasoning	
Ashtiani, Mehrdad	2016	JOUR	Applied Soft Computing	
Siettos, C.I.	2006	JOUR	Computers & Chemical Engineering	
Kinley, Isaac	2022	JOUR	Brain and Cognition	
Ismailova, Larisa Yu.	2018	JOUR	Procedia Computer Science	
Basu, Alo C.	2021	JOUR	Neuroscience Letters	
van den Ameele, Jelle	2014	JOUR	Trends in Neurosciences	
Wang, Zheng	2024	JOUR	Technology in Society	
Atance, Cristina M.	2010	JOUR	Cognition	
Brasch, Julia	2012	JOUR	Trends in Cell Biology	
Martí, Rafael	2024	JOUR	European Journal of Operational Research	
Jones, Steven R.	2020	JOUR	The Journal of Mathematical Behavior	
Juhola, Martti	2021	JOUR	Computer Methods and Programs in Biomedicine	
Doukas, Haris	2013	JOUR	European Journal of Operational Research	
Catenacci Volpi, Nicola	2014	JOUR	Neural Networks	
Jeyasubramanian, K.	2021	JOUR	Fuel	
Chang, Teng-Wen	2016	JOUR	Automation in Construction	
Trémolière, Bastien	2012	JOUR	Cognition	
Bentley, Katie	2013	JOUR	Experimental Cell Research	
Pratt, Lorien	2023	JOUR	Futures	
Wang, Xiao-Jing	2014	JOUR	Neuron	
Leonardi, Giuseppe	2018	JOUR	Physica A: Statistical Mechanics and its Applications	
Miller, Gary W.	2014	CHAP	No encontrado	
Georgakarakos, Efstratios	2017	JOUR	Annals of Vascular Surgery	
Ma, Lijia	2017	JOUR	Information Sciences	
Misztal, I.	2017	JOUR	Animal	
Richard, Benjamin	2019	JOUR	Advances in Engineering Software	
Matsumura, Lindsay Clare	2023	JOUR	Assessing Writing	
Kouzalis, Alexios	2024	JOUR	BioSystems	
Bartheye, Olivier	2020	CHAP	No encontrado	
Chang, Wenli-Li	2024	JOUR	System	
Sharma, Vandit	2022	JOUR	Computers & Graphics	
Nesi, Jacson	2024	JOUR	Advances in Integrative Medicine	
Leonelli, Sabina	2012	JOUR	Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences	
De Loera, Jesús A.	2016	JOUR	Journal of Symbolic Computation	
Khoong, Wei Kit	2024	JOUR	Applied Energy	
Cruz Quiroga, Luis Fernando	2016	CHAP	No encontrado	
Gallegati, Mauro	2017	CHAP	No encontrado	
Loong, Bernard Lew Shian	2014	JOUR	Procedia - Social and Behavioral Sciences	
Nakhleh, Luay	2013	JOUR	Trends in Ecology & Evolution	
Jara-Ettinger, Julian	2016	JOUR	Trends in Cognitive Sciences	
Oishi, Atsuya	2017	JOUR	Computer Methods in Applied Mechanics and Engineering	
Ortega, L.	2010	JOUR	Computers & Geosciences	
Gök, Selvi Elif	2012	JOUR	Cognitive Systems Research	
Savin, Ivan	2021	JOUR	Ecological Economics	
Ardalan, Kavous	2018	JOUR	Global Finance Journal	
Kanamori, Akihiro	2024	JOUR	Annals of Pure and Applied Logic	
Neumann, Eike	2020	JOUR	Theoretical Computer Science	
Sangalli, G.	2018	JOUR	Computer Methods in Applied Mechanics and Engineering	
Zhan, Zehui	2022	JOUR	Computers and Education: Artificial Intelligence	
WANG, Lei	2007	JOUR	Systems Engineering - Theory & Practice	
Stenroos, Matti	2019	JOUR	NeuroImage	
Dalla Chiara, M.L.	2018	JOUR	Fuzzy Sets and Systems	
Perfors, Amy	2012	JOUR	Journal of Memory and Language	
Myerscough, M.	2014	JOUR	Atherosclerosis	
Karpova, Alla	2016	JOUR	Current Opinion in Neurobiology	
Valentinov, Vladislav	2015	JOUR	Economic Systems	
Sun, Yung-Chien	2009	JOUR	Expert Systems with Applications	
de Hollander, Gilles	2016	JOUR	Biological Psychiatry: Cognitive Neuroscience and Neuroimaging	
Trnková, Maria	2019	JOUR	Topology and its Applications	
Zetterlund, Selma	2023	JOUR	Journal of Water Process Engineering	
Schulz, Lion	2024	JOUR	Trends in Cognitive Sciences	
Goligher, Ewan C	2024	JOUR	The Lancet	
McLean, Scott	2023	JOUR	International Journal of Drug Policy	
Conti, Federica	2021	JOUR	Trends in Cognitive Sciences	
Ahlquist, Sean	2015	JOUR	Computer-Aided Design	
Read, Stephen J.	2017	JOUR	Journal of Research in Personality	
Oesch, Lukas T.	2021	JOUR	Trends in Neurosciences	
Caputo, Francesco	2023	JOUR	Journal of Business Research	
Voinov, Alexey	2024	CHAP	No encontrado	
Meacham, Brian J.	2023	JOUR	Fire Safety Journal	
Denef, Frederik	2018	JOUR	Annals of Physics	
Nowicki, David R.	2012	JOUR	European Journal of Operational Research	
Bramley, Neil R.	2023	JOUR	Cognition	
Suthar, Krunal J.	2023	JOUR	Education for Chemical Engineers	
Moutoussis, Michael	2021	JOUR	Neuron	
Chen, Jing	2021	JOUR	Journal of English for Academic Purposes	
Marinho, Márcia M.	2021	JOUR	Heliyon	
Telikani, Akbar	2020	JOUR	Information Sciences	
Johnson, Samuel G.B.	2024	JOUR	Trends in Cognitive Sciences	
Sloot, Peter M.A.	2010	JOUR	Journal of Computational Science	
Fernyhough, Charles	2023	JOUR	Trends in Cognitive Sciences	
Mantelero, Alessandro	2014	JOUR	Computer Law & Security Review	
Simmons, Claire	2022	JOUR	Consciousness and Cognition	
Chiastra, Claudio	2016	JOUR	Journal of Biomechanics	
Liefgreen, Alice	2020	JOUR	Cognitive Psychology	
Geyer, Florian	2020	CHAP	No encontrado	
Deutsch, J.M.	2018	JOUR	Journal of Theoretical Biology	
Brom, Cyril	2012	JOUR	Cognitive Systems Research	
Ligomenides, Panos A.	2009	JOUR	Journal of Computational and Applied Mathematics	
Nugraha, Rendika	2023	JOUR	Procedia Computer Science	
Lin, Chien Liang	2021	JOUR	Tunnelling and Underground Space Technology	
Leroyer, Alban	2011	JOUR	Ocean Engineering	
Bedewy, Shereen El	2023	JOUR	Thinking Skills and Creativity	
Ban, Seonghoon	2020	JOUR	Computer-Aided Design	
Wang, Guolong	2024	JOUR	Information Sciences	
Yeh, I-Cheng	2011	JOUR	Expert Systems with Applications	
Ware, Colin	2022	CHAP	No encontrado	
Yon, Daniel	2021	JOUR	Current Biology	
Egbert, Joy	2021	JOUR	Computers & Education	
Guhe, Markus	2011	JOUR	Cognitive Systems Research	
Islam, Md. Rabiul	2021	JOUR	Computers in Biology and Medicine	
Carlson, Kristofor D.	2017	CHAP	No encontrado	
Ringach, Dario L	2009	JOUR	Current Opinion in Neurobiology	
Zhao, Lingling	2015	JOUR	Procedia - Social and Behavioral Sciences	
Crollen, Virginie	2020	JOUR	Neuroscience & Biobehavioral Reviews	
Gardner, Nicole	2024	CHAP	No encontrado	
Bateman, John A.	2021	JOUR	Discourse, Context & Media	
Zheng, Wenbo	2024	CHAP	No encontrado	
Elnakib, Ahmed	2021	CHAP	No encontrado	
Mahmoud Zaki Ali, Hossam	2022	JOUR	Measurement: Sensors	
Slepian, Marvin J.	2024	CHAP	No encontrado	
Bohmann, Anna Marie	2018	JOUR	Topology and its Applications	
Pu, Ziqiang	2023	JOUR	Robotics and Computer-Integrated Manufacturing	
Dash, Rajashree	2016	JOUR	Applied Soft Computing	
Cabitza, Federico	2017	JOUR	Journal of Visual Languages & Computing	
Salvatore, Sergio	2024	JOUR	Physics of Life Reviews	
Aalto, Mika	2019	JOUR	Applied Energy	
Krzhizhanovskaya, Valeria V.	2015	JOUR	Journal of Computational Science	
Valton, Vincent	2017	JOUR	Neuroscience & Biobehavioral Reviews	
Postan, Ezequiel	2018	JOUR	Electronic Notes in Theoretical Computer Science	
Kuo, Brian C.	2012	JOUR	Aerospace Science and Technology	
Fitriani, Arbania	2023	JOUR	Heliyon	
Kumar, Neil	2006	JOUR	Drug Discovery Today	
Estrella, Soledad	2022	JOUR	International Journal for Lesson and Learning Studies	
Phippen, Andy	2024	CHAP	No encontrado	
Atsalakis, George S.	2016	JOUR	Applied Soft Computing	
Negi, Sunder Kala	2022	JOUR	Neuroscience Informatics	
Kay, Kendrick	2023	JOUR	Neuron	
Pezzano, Giacomo	2024	JOUR	Journal of Responsible Technology	
Brocas, Isabelle	2021	JOUR	Journal of Economic Theory	
Laso, Jara	2018	JOUR	Resources, Conservation and Recycling	
Angelaki, Dora E	2009	JOUR	Current Opinion in Neurobiology	
Yang, Yi	2023	JOUR	Engineering Applications of Artificial Intelligence	
Lord, Carolynne	2023	JOUR	International Journal of Sustainable Transportation	
Wu, Yin	2018	JOUR	Psychoneuroendocrinology	
Sankaranarayanan, K.	2015	JOUR	Mutation Research/Reviews in Mutation Research	
da Silva Soares, Raimundo	2023	CHAP	No encontrado	
Andrade, J.A.A.	2017	JOUR	Communications in Nonlinear Science and Numerical Simulation	
Phang, David C.W.	2019	JOUR	Electronic Commerce Research and Applications	
Rubenstein, Lisa DaVia	2022	JOUR	Thinking Skills and Creativity	
Hadi Mogavi, Reza	2024	JOUR	Computers in Human Behavior: Artificial Humans	
Alanzi, Ayed R.A.	2017	JOUR	Molecular Phylogenetics and Evolution	
Keitzer, S. Conor	2016	JOUR	Journal of Great Lakes Research	
Yousif, Mohamed Khalid	2018	JOUR	Journal of King Saud University - Computer and Information Sciences	
Luchini, Simone	2023	CHAP	No encontrado	
Jia, Heming	2024	JOUR	Swarm and Evolutionary Computation	
Boden, Margaret A.	2008	CHAP	No encontrado	
Arjmandi, Mohammadreza	2023	JOUR	Education for Chemical Engineers	
Kondinski, Aleksandar	2022	JOUR	Chemical Science	
Shi, Guoyong	2018	JOUR	Integration	
Beggs, E.J.	2009	JOUR	Applied Mathematics and Computation	
O'Toole, Katherine	2024	JOUR	Journal of Creativity	
Dukhanov, Alexey V.	2014	JOUR	Procedia Computer Science	
Burton-Roberts, Noel	2011	JOUR	Lingua	
Hodgman, C. Eric	2012	JOUR	Metabolic Engineering	
Silaghi, Gheorghe Cosmin	2012	JOUR	Future Generation Computer Systems	
Bonsignore, C.	2019	CHAP	No encontrado	
Mukti, M.H.	2024	JOUR	Ocean Engineering	
Gollisch, Tim	2010	JOUR	Neuron	
PETRUZZELLI, ANTONIO MESSENI	2012	CHAP	No encontrado	
Pan, Xiaoshan	2006	JOUR	Automation in Construction	
Zhang, Kai	2024	JOUR	International Journal of Approximate Reasoning	
Khanum, Ghazala	2022	JOUR	Journal of Molecular Structure	
