Primer Autor	Año Publicación	Tipo Producto	Journal	Afiliación	Publisher	Base Datos	Citaciones
Ashby, Michael F.	2016	CHAP	No encontrado	No encontrado	Butterworth-Heinemann	No encontrado	0
Urken, Arnold B.	2012	JOUR	Advanced Engineering Informatics	No encontrado	No encontrado	No encontrado	0
Lu, Dan	2024	JOUR	Thinking Skills and Creativity	No encontrado	No encontrado	No encontrado	0
Shwartz-Asher, Daphna	2022	JOUR	Social Sciences & Humanities Open	No encontrado	No encontrado	No encontrado	0
No encontrado	2024	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Lehrach, Hans	2011	JOUR	Procedia Computer Science	No encontrado	No encontrado	No encontrado	0
Simeonov, Plamen L.	2017	JOUR	Progress in Biophysics and Molecular Biology	No encontrado	No encontrado	No encontrado	0
Farahi, Sorour	2021	JOUR	Operations Research for Health Care	No encontrado	No encontrado	No encontrado	0
Zhang, Xin	2022	JOUR	Computers & Fluids	No encontrado	No encontrado	No encontrado	0
CH, Ratnasekhar	2024	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Furia, Carlo A.	2007	JOUR	Theoretical Computer Science	No encontrado	No encontrado	No encontrado	0
Nersessian, Nancy J.	2009	JOUR	Cognitive Systems Research	No encontrado	No encontrado	No encontrado	0
Love, Nigel	2017	JOUR	Language Sciences	No encontrado	No encontrado	No encontrado	0
Cordell, William T.	2023	JOUR	Trends in Biotechnology	No encontrado	No encontrado	No encontrado	0
Soemers, Dennis J.N.J.	2023	JOUR	Information Sciences	No encontrado	No encontrado	No encontrado	0
Li, Rui-Guo	2021	JOUR	Applied Soft Computing	No encontrado	No encontrado	No encontrado	0
Suzuki, Y.	2008	JOUR	Fusion Engineering and Design	No encontrado	No encontrado	No encontrado	0
Zhan, Jin	2023	JOUR	Journal of Building Engineering	No encontrado	No encontrado	No encontrado	0
Braithwaite, David W.	2016	JOUR	Cognition	No encontrado	No encontrado	No encontrado	0
Jones, Ryan Seth	2022	JOUR	The Journal of Mathematical Behavior	No encontrado	No encontrado	No encontrado	0
Ji, Fang	2021	JOUR	Future Generation Computer Systems	No encontrado	No encontrado	No encontrado	0
Li, Xiangyang	2024	JOUR	Heliyon	No encontrado	No encontrado	No encontrado	0
Kelley, Troy D.	2011	JOUR	New Ideas in Psychology	No encontrado	No encontrado	No encontrado	0
Bhardwaj, Kartik Krishna	2022	JOUR	Sustainable Cities and Society	No encontrado	No encontrado	No encontrado	0
Owoyele, Babajide	2022	JOUR	SoftwareX	No encontrado	No encontrado	No encontrado	0
Harris, Danielle	2023	JOUR	The Journal of Mathematical Behavior	No encontrado	No encontrado	No encontrado	0
Hoppensteadt, Frank	2015	JOUR	Biosystems	No encontrado	No encontrado	No encontrado	0
Pesti, Gene M.	2013	JOUR	Poultry Science	No encontrado	No encontrado	No encontrado	0
Thompson, Jane	2021	JOUR	Computers & Education	No encontrado	No encontrado	No encontrado	0
Chirimuuta, M.	2019	JOUR	Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences	No encontrado	No encontrado	No encontrado	0
Ghiorso, Mark S.	2015	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Tayan, Omar	2024	JOUR	Machine Learning with Applications	No encontrado	No encontrado	No encontrado	0
Schwitzgebel, Eric	2024	JOUR	New Scientist	No encontrado	No encontrado	No encontrado	0
Álvarez, James A.M.	2020	JOUR	The Journal of Mathematical Behavior	No encontrado	No encontrado	No encontrado	0
Caplette, Laurent	2017	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Cardone, Barbara	2022	JOUR	Information Sciences	No encontrado	No encontrado	No encontrado	0
Runco, Mark A.	2023	JOUR	Journal of Creativity	No encontrado	No encontrado	No encontrado	0
Vieira, Mário	2024	JOUR	Energy Policy	No encontrado	No encontrado	No encontrado	0
Nikolić, Hrvoje	2024	JOUR	Physica A: Statistical Mechanics and its Applications	No encontrado	No encontrado	No encontrado	0
Giannakos, Michail	2022	JOUR	International Journal of Child-Computer Interaction	No encontrado	No encontrado	No encontrado	0
Vallero, Daniel	2014	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Van Rinsveld, Amandine	2017	JOUR	Neuropsychologia	No encontrado	No encontrado	No encontrado	0
Sester, Joachim	2021	JOUR	Forensic Science International: Digital Investigation	No encontrado	No encontrado	No encontrado	0
Lim, Teng Shuen	2022	JOUR	Education for Chemical Engineers	No encontrado	No encontrado	No encontrado	0
Sell, Aaron	2023	JOUR	Evolution and Human Behavior	No encontrado	No encontrado	No encontrado	0
Rougier, Nicolas P.	2009	JOUR	Neural Networks	No encontrado	No encontrado	No encontrado	0
Genter, Mary Beth	2024	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Gross, Fridolin	2017	JOUR	Progress in Biophysics and Molecular Biology	No encontrado	No encontrado	No encontrado	0
de Lima Neto, Fernando Buarque	2018	JOUR	Data & Knowledge Engineering	No encontrado	No encontrado	No encontrado	0
Lin, Jian-Hao	2024	JOUR	Ecological Modelling	No encontrado	No encontrado	No encontrado	0
Robertson, Glen A.	2008	JOUR	Energy Conversion and Management	No encontrado	No encontrado	No encontrado	0
Shaikh, Tawseef Ayoub	2023	JOUR	Artificial Intelligence in Medicine	No encontrado	No encontrado	No encontrado	0
Bouttier, Vincent	2022	JOUR	Schizophrenia Research	No encontrado	No encontrado	No encontrado	0
Asif, Muhammad	2024	JOUR	Journal of Industrial and Engineering Chemistry	No encontrado	No encontrado	No encontrado	0
Soylu, Firat	2024	JOUR	Acta Psychologica	No encontrado	No encontrado	No encontrado	0
Zhang, Li	2022	JOUR	Transportation Research Part E: Logistics and Transportation Review	No encontrado	No encontrado	No encontrado	0
Habash, Riadh	2022	CHAP	No encontrado	No encontrado	Woodhead Publishing	No encontrado	0
Koivisto, Mika	2024	JOUR	Consciousness and Cognition	No encontrado	No encontrado	No encontrado	0
Lund, Henrik	2012	JOUR	Energy	No encontrado	No encontrado	No encontrado	0
Umney, Darren	2018	JOUR	Design Studies	No encontrado	No encontrado	No encontrado	0
Dambrot, S. Mason	2020	JOUR	Procedia Computer Science	No encontrado	No encontrado	No encontrado	0
Sun, Lushan	2020	CHAP	No encontrado	No encontrado	Woodhead Publishing	No encontrado	0
Gori, Marco	2018	CHAP	No encontrado	No encontrado	Morgan Kaufmann	No encontrado	0
Wu, Kehe	2021	JOUR	Alexandria Engineering Journal	No encontrado	No encontrado	No encontrado	0
Li, Chengyou	2011	JOUR	Procedia Engineering	No encontrado	No encontrado	No encontrado	0
Murty, B.S.	2019	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Sheffield, Julia	2024	JOUR	Biological Psychiatry	No encontrado	No encontrado	No encontrado	0
Roschelle, Jeremy	2007	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Cahill, Katharine J.	2017	JOUR	Procedia Computer Science	No encontrado	No encontrado	No encontrado	0
Cordasco, Gennaro	2018	JOUR	Simulation Modelling Practice and Theory	No encontrado	No encontrado	No encontrado	0
Colom, José Francisco	2017	JOUR	Computers & Electrical Engineering	No encontrado	No encontrado	No encontrado	0
Cohen, Michael X	2017	JOUR	Trends in Neurosciences	No encontrado	No encontrado	No encontrado	0
Cheng, Eric Chi Keung	2023	JOUR	Computers and Education: Artificial Intelligence	No encontrado	No encontrado	No encontrado	0
Carston, R.	2006	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Giles, T.	2022	JOUR	Toxicon	No encontrado	No encontrado	No encontrado	0
No encontrado	2024	JOUR	International Journal of Child-Computer Interaction	No encontrado	No encontrado	No encontrado	0
Pauliuk, Stefan	2022	JOUR	Journal of Cleaner Production	No encontrado	No encontrado	No encontrado	0
Jeyakumar, Vijay	2022	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Napier, W.J.	2014	JOUR	Atmospheric Environment	No encontrado	No encontrado	No encontrado	0
Santa Soriano, Alba	2021	JOUR	Public Relations Review	No encontrado	No encontrado	No encontrado	0
Buchanan, David W.	2014	CHAP	No encontrado	No encontrado	JAI	No encontrado	0
Bradley, Derek	2016	JOUR	Combustion and Flame	No encontrado	No encontrado	No encontrado	0
Papadopoulos, Ioannis	2008	JOUR	The Journal of Mathematical Behavior	No encontrado	No encontrado	No encontrado	0
Mao, Jiashun	2022	JOUR	Heliyon	No encontrado	No encontrado	No encontrado	0
Medford, Andrew J.	2015	JOUR	Journal of Catalysis	No encontrado	No encontrado	No encontrado	0
Valery, Olivier	2018	JOUR	Journal of Parallel and Distributed Computing	No encontrado	No encontrado	No encontrado	0
Drawel, Nagat	2017	JOUR	Procedia Computer Science	No encontrado	No encontrado	No encontrado	0
Smith, Linda B.	2018	JOUR	Trends in Cognitive Sciences	No encontrado	No encontrado	No encontrado	0
Gómez-Iglesias, Antonio	2018	JOUR	Parallel Computing	No encontrado	No encontrado	No encontrado	0
Zhang, Wenyou	2019	JOUR	Additive Manufacturing	No encontrado	No encontrado	No encontrado	0
Niall, Keith K.	2023	JOUR	Methods in Psychology	No encontrado	No encontrado	No encontrado	0
Deng, Haoxin	2020	JOUR	Fuel	No encontrado	No encontrado	No encontrado	0
Petrovic, Predrag V.	2024	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Moallemi, Enayat A.	2023	JOUR	Global Environmental Change	No encontrado	No encontrado	No encontrado	0
Majeed, Amani J.	2023	JOUR	Procedia Structural Integrity	No encontrado	No encontrado	No encontrado	0
Ferraz de Arruda, Henrique	2022	JOUR	Physica A: Statistical Mechanics and its Applications	No encontrado	No encontrado	No encontrado	0
Tanksley, Tiera Chante	2024	JOUR	English Teaching: Practice & Critique	No encontrado	No encontrado	No encontrado	0
Öztürk, Betül	2024	JOUR	International Journal of Gastronomy and Food Science	No encontrado	No encontrado	No encontrado	0
Pyke, Aryn A.	2017	JOUR	NeuroImage	No encontrado	No encontrado	No encontrado	0
Frade, João Lucas Hana	2021	JOUR	Telecommunications Policy	No encontrado	No encontrado	No encontrado	0
Budding, Dominique	2023	JOUR	Cognitive Systems Research	No encontrado	No encontrado	No encontrado	0
El-Zanfaly, Dina	2015	JOUR	Design Studies	No encontrado	No encontrado	No encontrado	0
Yip, Valerie W.Y.	2023	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
White, Ben	2024	JOUR	Cognitive Systems Research	No encontrado	No encontrado	No encontrado	0
Pohjonen, Aarne	2018	JOUR	Computational Materials Science	No encontrado	No encontrado	No encontrado	0
Payandeh, Shahram	2006	JOUR	IFAC Proceedings Volumes	No encontrado	No encontrado	No encontrado	0
Amati, Daniele	2007	JOUR	Cognition	No encontrado	No encontrado	No encontrado	0
Jaipal-Jamani, Kamini	2023	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Luque-Ayala, Andrés	2024	JOUR	Digital Geography and Society	No encontrado	No encontrado	No encontrado	0
Liu, Keyu	2023	JOUR	Applied Soft Computing	No encontrado	No encontrado	No encontrado	0
Brandon, Duane	2024	JOUR	Journal of Accounting Education	No encontrado	No encontrado	No encontrado	0
Rabb, Nathaniel	2019	JOUR	Trends in Cognitive Sciences	No encontrado	No encontrado	No encontrado	0
Li, Haixia	2023	JOUR	Particuology	No encontrado	No encontrado	No encontrado	0
Soltoggio, Andrea	2018	JOUR	Neural Networks	No encontrado	No encontrado	No encontrado	0
Du, Jiajun	2023	JOUR	Journal of Building Engineering	No encontrado	No encontrado	No encontrado	0
Dumontheil, Iroise	2010	JOUR	NeuroImage	No encontrado	No encontrado	No encontrado	0
Chang, Hochan	2024	JOUR	Current Opinion in Chemical Engineering	No encontrado	No encontrado	No encontrado	0
Tandon, Gitanjali	2022	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Walsh, Liam H.	2024	JOUR	Journal of Microbiology & Biology Education	No encontrado	No encontrado	No encontrado	0
Scarr, Graham	2024	JOUR	Medical Hypotheses	No encontrado	No encontrado	No encontrado	0
Osborne, Olivia J.	2024	JOUR	Regulatory Toxicology and Pharmacology	No encontrado	No encontrado	No encontrado	0
Brooks, Michael	2024	JOUR	New Scientist	No encontrado	No encontrado	No encontrado	0
Candler, Graham V.	2015	JOUR	Progress in Aerospace Sciences	No encontrado	No encontrado	No encontrado	0
Canbay, Pelin	2024	JOUR	Knowledge-Based Systems	No encontrado	No encontrado	No encontrado	0
Leng, Jiaxu	2021	JOUR	Neurocomputing	No encontrado	No encontrado	No encontrado	0
Smith, Ryan	2017	JOUR	Neuroscience & Biobehavioral Reviews	No encontrado	No encontrado	No encontrado	0
Bao, Zhuming	2024	JOUR	Measurement and Evaluations in Cancer Care	No encontrado	No encontrado	No encontrado	0
Varathan, Aarthy	2024	JOUR	Schizophrenia Research	No encontrado	No encontrado	No encontrado	0
Johnson, Eachan O.	2019	JOUR	ACS Chemical Biology	No encontrado	No encontrado	No encontrado	0
Nick Reid, J.	2023	JOUR	Journal of Memory and Language	No encontrado	No encontrado	No encontrado	0
Lezama, Fernando	2021	JOUR	International Journal of Electrical Power & Energy Systems	No encontrado	No encontrado	No encontrado	0
Gefen, Amit	2016	JOUR	Medical Engineering & Physics	No encontrado	No encontrado	No encontrado	0
Chen, Qizhen	2022	JOUR	Nano Energy	No encontrado	No encontrado	No encontrado	0
Grazzini, Jakob	2017	JOUR	Journal of Economic Dynamics and Control	No encontrado	No encontrado	No encontrado	0
Cardone, Barbara	2023	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Tahir, Amjed	2023	JOUR	Journal of Systems and Software	No encontrado	No encontrado	No encontrado	0
Zhang, Peter	2023	JOUR	Signs and Media	No encontrado	No encontrado	No encontrado	0
Morrison, Laura	2024	JOUR	Computers and Education Open	No encontrado	No encontrado	No encontrado	0
Hood, Leroy	2012	JOUR	Genomics, Proteomics & Bioinformatics	No encontrado	No encontrado	No encontrado	0
Furfaro, David	2024	JOUR	CHEST	No encontrado	No encontrado	No encontrado	0
Sun, Haiyang	2024	JOUR	English for Specific Purposes	No encontrado	No encontrado	No encontrado	0
Ju, Mingye	2017	JOUR	Neurocomputing	No encontrado	No encontrado	No encontrado	0
Hao, Xiaochen	2021	JOUR	Image and Vision Computing	No encontrado	No encontrado	No encontrado	0
Kube, Tobias	2020	JOUR	Neuroscience & Biobehavioral Reviews	No encontrado	No encontrado	No encontrado	0
Gotham, Solomon	2016	JOUR	Procedia Computer Science	No encontrado	No encontrado	No encontrado	0
Naderpour, Mohsen	2014	JOUR	Accident Analysis & Prevention	No encontrado	No encontrado	No encontrado	0
Gardner, Nicole	2024	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Wang, Li	2024	JOUR	Thinking Skills and Creativity	No encontrado	No encontrado	No encontrado	0
Craig, Paul A.	2018	JOUR	Journal of Biological Chemistry	No encontrado	No encontrado	No encontrado	0
Yalamanchi, Kiran K.	2022	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Albert, Dietrich	2008	JOUR	Developmental Review	No encontrado	No encontrado	No encontrado	0
Kishida, Kenneth T.	2012	JOUR	Biological Psychiatry	No encontrado	No encontrado	No encontrado	0
Debnath, Ramit	2020	JOUR	Energy Research & Social Science	No encontrado	No encontrado	No encontrado	0
Collins, Anne G.E.	2018	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Curran, James M.	2024	JOUR	Forensic Science International	No encontrado	No encontrado	No encontrado	0
O’Grady, Clare E.	2014	CHAP	No encontrado	No encontrado	Elsevier	No encontrado	0
Jiang, Xuefeng	2024	JOUR	Cell Reports Physical Science	No encontrado	No encontrado	No encontrado	0
Hysmith, Holland	2024	JOUR	Digital Discovery	No encontrado	No encontrado	No encontrado	0
Alberola, Juan M.	2016	JOUR	Knowledge-Based Systems	No encontrado	No encontrado	No encontrado	0
Agbo, Benjamin	2024	JOUR	International Journal of Educational Research Open	No encontrado	No encontrado	No encontrado	0
Jacob, Yael	2020	JOUR	NeuroImage: Clinical	No encontrado	No encontrado	No encontrado	0
Hyun, Kyung Hoon	2018	JOUR	Advanced Engineering Informatics	No encontrado	No encontrado	No encontrado	0
Zhu, Dong Hong	2024	JOUR	The International Journal of Management Education	No encontrado	No encontrado	No encontrado	0
Skolicki, Z.	2008	JOUR	Advances in Engineering Software	No encontrado	No encontrado	No encontrado	0
Mudjahidin, 	2019	JOUR	Procedia Computer Science	No encontrado	No encontrado	No encontrado	0
Bolinska, Agnes	2023	JOUR	Studies in History and Philosophy of Science	No encontrado	No encontrado	No encontrado	0
Calderón, Francisco	2022	JOUR	Transportation Letters	No encontrado	No encontrado	No encontrado	0
Sarasso, Pietro	2024	JOUR	Physics of Life Reviews	No encontrado	No encontrado	No encontrado	0
DONG, Man-sheng	2012	JOUR	Journal of Hydrodynamics, Ser. B	No encontrado	No encontrado	No encontrado	0
Subhaswaraj, Pattnaik	2022	CHAP	No encontrado	No encontrado	Academic Press	No encontrado	0
Nazeem, Ahmed	2010	JOUR	IFAC Proceedings Volumes	No encontrado	No encontrado	No encontrado	0
Altuntaş, Açelya	2023	JOUR	Games and Economic Behavior	No encontrado	No encontrado	No encontrado	0
Zeyer, Albert	2015	CHAP	No encontrado	No encontrado	Chandos Publishing	No encontrado	0
Ahamed, Syed V.	2017	CHAP	No encontrado	No encontrado	Morgan Kaufmann	No encontrado	0
Yishou, Wang	2009	JOUR	Chinese Journal of Aeronautics	No encontrado	No encontrado	No encontrado	0
Moore, Sharlen	2022	JOUR	IBRO Neuroscience Reports	No encontrado	No encontrado	No encontrado	0
Han, Muxuan	2024	JOUR	Expert Systems with Applications	No encontrado	No encontrado	No encontrado	0
Wu, Changxu	2018	JOUR	International Journal of Industrial Ergonomics	No encontrado	No encontrado	No encontrado	0
Xu, Quan	2018	JOUR	IFAC-PapersOnLine	No encontrado	No encontrado	No encontrado	0
Cai, Ruixian	2009	JOUR	International Journal of Heat and Mass Transfer	No encontrado	No encontrado	No encontrado	0
Zhang, Xiaochun	2023	JOUR	Tunnelling and Underground Space Technology	No encontrado	No encontrado	No encontrado	0
Makridis, Christos	2013	JOUR	Environmental Science & Policy	No encontrado	No encontrado	No encontrado	0
Tobacman, Larry S.	2021	JOUR	Biophysical Journal	No encontrado	No encontrado	No encontrado	0
Packwood, Daniel	2022	JOUR	Machine Learning with Applications	No encontrado	No encontrado	No encontrado	0
Scholte, Tom	2018	JOUR	Futures	No encontrado	No encontrado	No encontrado	0
